culture,number,direction,degree of direction,condition,length,wide,height,burial utensil,weave,gender,age,agate bead,gold bead,blass bead,red bead,small bead,white bead,g_earring,b_m_bracelet,s_m_bracelet,wide bracelet,bracelet,bell,m_weave,fish_m_weave,s_m_weave,m_string,m_piece,gold foil,m_ornament,hair stick,m_needle,b_ornament,comb,coin,baw_plate,baw_vessel,baw_bowl,ceramic bowl,ceramic jar,w_ceramic vessel,b_ceramic vessel,br_ceramic vessel,ceramic,geometric pottery,hard pottery,pottery,vessel,m_object,st_object,millstone,st_hammer,st_ox,wd_object,Anping jar,kendi 
1,0,1,290,3,115,70,,1,0,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,295,2,102,60,30,,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,290,2,104,75,60,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,290,1,130,82,60,1,0,,,0,5,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,1,300,2,140,73,30,1,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,1,285,2,70,50,35,1,0,,2,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,310,3,85+,55,13,1,0,,,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,290,2,130,60,29,1,1,1,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1,295,2,100,58,15,1,0,,,8,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,1,300,1,130,70,60,1,0,,7,0,2,0,0,1526,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
