culture,number,direction,degree of direction,condition,length,wide,height,burial utensil,weave,gender,age,agate bead,gold bead,blass bead,red bead,small bead,white bead,g_earring,b_m_bracelet,s_m_bracelet,wide bracelet,bracelet,bell,m_weave,fish_m_weave,s_m_weave,m_string,m_piece,gold foil,m_ornament,hair stick,m_needle,b_ornament,comb,coin,baw_plate,baw_vessel,baw_bowl,ceramic bowl,ceramic jar,w_ceramic vessel,b_ceramic vessel,br_ceramic vessel,ceramic,geometric pottery,hard pottery,pottery,vessel,m_object,st_object,millstone,st_hammer,st_ox,wd_object,Anping jar,kendi 
2,38,1,75,1,205,57,46,3,0,,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39,1,20,2,65,45,19,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,43,1,20,2,65,45,35,2,0,,,26,0,0,0,87,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,49,1,50,3,?,?,31,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50,2,,1,70,70,40,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,52,2,,2,80,60,27,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,56,1,50,1,85,70,28,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,57,2,,2,53,53,37,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,62,2,,1,70,70,39,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,63,2,,1,90,90,23,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
